validator_address,operator_address,commission_rate
0xF2f366c49d1512Fd03ECE4135b8Eb8D841D7Bce8,0x7a6e49A5d018008Be6954eF6d5ccb99D44d6430a,10
0x43fB5ef524117e164105dEbAC7740A7180b8BE1A,0xab2A34377F956E7166A8BE8917Cd4a1E0b97120e,10
0x1576B2bA23aefA84Ccb7B11eAAa8ef2123f40d38,0x121B1750B77F0575d78a784E1DD7977FDC3b8607,10
0x3f35601286358896AC25001D861945648E62153B,0xC14fAF534Ee8d4F8874A39D0E0F2e0cE66619075,10
0xe6F4BF9bC2ceBC7d4A6e1Fc7cA8002E1f8c5DaAE,0x8C0E1EBaC3e4513C5d2338D2Ba47ca4BB3483D01,10
0x9690C1149Ea8FDe9AeFd40B24d890c40a6a4d220,0xD56A1aD7329a7dfc3F3Bb0337B4D4A454EB618b6,10
0x3f825cD190f2E4179F7ab5ef934183Cb89E07fFa,0xafEc81207F268B76ECC7D29a90d98b80d37c96F8,10
0x20b49De5932Ef2CB6C8EFD78704D6bEB3D74538d,0x472B1512beBAD98639550035DF7b679730b05781,10
0x2197473641B3aadF08cA6834BE9E3d779f3e6755,0x4A509c90b3E3551A482ae552544803b613722f58,10
0x2AADEa15C564e5CACd2D9B88C5765cf62c6d001B,0x51aA6142EC617174f240f04AF1DF4af26F99F0FA,10
0xE2d233909d35EE8B1E76fE92510927F87A6FA2F7,0x8a9e6A26f1940d09E275E0CB86808D57790F48db,10
0x28FA9436b62D6F33dB3F11143641f3F1CFC42347,0xa413199B11809ca0eb5B317e7E965be0E814dA4A,10
0xD09800d2eC45d0754f09F9281bAc4Bce461567BF,0x704Dfcc27450B8B828103A09750bDD7bB5d29908,10
0x7755F1bFd447D1E8AbDfBf652f24D25c044E091f,0xcF5b038fC8C4Fbcd68609bf567a71Eb0228AEfa3,10
0x8454a31C3Fd5d781e28485217699576f073FAdBA,0x71EfF18f36B82b5105803A09b9bC3E20361B75f4,10
0xc88f69ecdF79525B149299b794dAE7E465410C4a,0xCF60bb46f400d191a88ddf682A6018D775fA5f5E,10
0x2fEC10a38bb7016feAA6069276d0888Da58C76FB,0x416a1502635904bad21E89B20646BEbc5a60078D,10
0xA018bBdd0899186B980cB096A69fE3fB46b852e0,0x6ccd1be635eE9C018c85f64A268EbA80AB93639D,10
0xFb702654C5667aD7555d80a5Bb3aaf6471846ce7,0xD02b6D794911e919391768bbA8c5C7c240301955,10